id,building,column_1_based,row_1_based,width,height,note
E1,Elite plot 1,11,6,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-1,Fish Pond,11,2,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E2,Elite plot 2,16,6,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-2,Fish Pond,16,2,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E3,Elite plot 3,21,6,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-3,Fish Pond,21,2,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E4,Elite plot 4,26,6,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-4,Fish Pond,26,2,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E5,Elite plot 5,11,13,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-5,Fish Pond,11,17,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E6,Elite plot 6,16,13,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-6,Fish Pond,16,17,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E7,Elite plot 7,21,13,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-7,Fish Pond,21,17,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
E8,Elite plot 8,26,13,4,4,"Place separate elite housing here. Target: Estate, 20 residents. The boulevard gives road access across its planted verge. Water is supplied on site."
pond-8,Fish Pond,26,17,4,4,Permanent rear beauty reserve. Build before the elite plot. The pond is decorative; it does not distribute drinking water.
stadium,"Stadium, rotated",3,1,5,10,One per city. Rotate the 10×5 footprint to 5×10. Needs competitors from a Gymnasium. Its roaming competitors serve this street.
theater,Theater,4,12,5,5,Needs actors trained at a road-connected Drama School.
podium,Podium,30,9,2,2,Needs philosophers trained at a College.
gym,Gymnasium,32,8,3,3,Produces athletes and sends competitors to the Stadium.
tax,Tax Office,9,9,2,2,Requires the city's Palace. Tax collection is not an evolution requirement.
maintenance,Maintenance Office,9,12,2,2,Keep staffed before occupying houses. Superintendent visits reduce fire and collapse risk throughout the street.
clinic,Infirmary,30,12,4,4,"Healers serve all eight elite plots along the street. Included for health, especially on higher difficulties; health is separate from the culture score."
watch,Watchpost · optional,34,12,2,2,"Optional: elite homes reduce unrest in the model. This is a reserve for local security, not a housing upgrade requirement."
agora,Grand Agora,36,9,6,5,"Build across the existing straight road, with three 2×2 stalls on each side. Roadblock goes immediately beyond its eastern end, not between the Agora and the homes."
vendor-0,Food stall,36,9,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
vendor-1,Fleece stall,38,9,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
vendor-2,Oil stall,40,9,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
vendor-3,Wine stall,36,12,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
vendor-4,Armor stall,38,12,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
vendor-5,Horses stall,40,12,2,2,Part of the Grand Agora. Give the buyer road access to the appropriate stock source beyond the roadblock.
park-9-0,Park,10,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-10-0,Park,11,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-11-0,Park,12,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-12-0,Park,13,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-13-0,Park,14,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-0,Park,15,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-15-0,Park,16,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-16-0,Park,17,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-17-0,Park,18,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-18-0,Park,19,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-0,Park,20,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-20-0,Park,21,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-21-0,Park,22,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-22-0,Park,23,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-23-0,Park,24,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-0,Park,25,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-25-0,Park,26,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-26-0,Park,27,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-27-0,Park,28,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-28-0,Park,29,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-0,Park,30,1,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-1,Park,10,2,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-1,Park,15,2,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-1,Park,20,2,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-1,Park,25,2,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-1,Park,30,2,1,1,One ordinary park tile. Keep this space green; it is not a road.
